item,n,median,mean,sd,pct_rank1
Competitive salary,57,2,1.7719298245614037,0.7795956795409382,38.59649122807017
Allowances and soft pay,57,4,3.8771929824561404,1.282717197406078,1.7543859649122806
Benefits package,57,3,3.456140350877193,1.2111118775529681,5.263157894736842
Disability insurance,57,5,4.543859649122807,1.070216524130189,1.7543859649122806
Job security,57,1,1.9649122807017543,1.2672370434574487,52.63157894736842
New hire/longevity bonuses,57,6,5.385964912280702,1.0133816437501348,0
