item,statistic,p,p_adj_holm,p.adj.signif,effsize,magnitude
Unambiguous SOPs,132,0.412,1,ns,0.11077596683899338,small
Proactive training environment,131.5,0.419,1,ns,0.10918725537969984,small
Well-maintained aircraft,119.5,0.672,1,ns,0.058291546493227916,small
Well-equipped aircraft,111,0.877,1,ns,0.02272630010537139,small
Highly skilled fellow pilots,44.5,0.0507,0.2535,ns,0.2609050899158921,small
