finished,informed_consent,screener,age,gender,nationality,base_state,position_position,air_carrier_type,experience,total_flying_hours,military_experience,general_1,general_2,general_3,general_4,general_5,general_6,financial_1,financial_2,financial_3,financial_4,financial_5,financial_6,qo_l_1,qo_l_2,qo_l_3,qo_l_4,qo_l_5,qo_l_6,professional_1,professional_2,professional_3,professional_4,professional_5,recognition_1,recognition_3,recognition_4,recognition_7,schedule_1,schedule_2,schedule_3,schedule_4,schedule_5,operational_1,operational_2,operational_3,operational_4,operational_5,leaving,when,why
TRUE,YES,YES,26,Male,United States of America,New York,Captain,Regional Airline,3,2800,Never served in the military,1,3,4,6,2,5,1,4,2,5,3,6,4,5,6,3,1,2,1,4,2,5,3,4,1,3,2,4,5,1,3,2,1,2,3,4,5,Maybe,1-2 years,Work for a legacy.
TRUE,YES,YES,40,Male,United States of America,Indiana,Captain,Regional Airline,14,8000,Previously served in the military,3,2,4,6,1,5,1,2,5,6,3,4,5,4,3,1,6,2,1,3,5,2,4,3,1,2,4,5,1,2,4,3,1,2,4,5,3,Maybe,over 4 years,Do international flying
TRUE,YES,YES,35,Male,United States of America,New Jersey,First Officer,Regional Airline,3,2400,Never served in the military,1,4,3,5,2,6,2,3,5,4,1,6,3,1,4,5,6,2,1,5,2,3,4,3,1,4,2,4,3,1,2,5,4,5,1,2,3,Yes,1-2 years,Pay and QOL
TRUE,YES,YES,38,Male,United States of America,Michigan,Captain,Low Cost Carrier,10,8000,Previously served in the military,3,1,4,6,2,5,2,5,1,4,3,6,3,4,6,1,5,2,1,2,5,4,3,4,1,2,3,5,1,2,4,3,2,3,4,5,1,Maybe,over 4 years,Once my kids are out of the the house For a legacy passenger carrier
TRUE,YES,YES,35,Male,United States of America,Ohio,Captain,Regional Airline,15,11500,Never served in the military,3,1,5,6,2,4,2,3,4,5,1,6,2,3,6,1,5,4,1,3,4,5,2,3,1,2,4,5,4,3,1,2,4,3,2,5,1,No,NA,NA
TRUE,YES,YES,33,Prefer not to say,United States of America,Indiana,First Officer,Regional Airline,3,2000,Never served in the military,3,1,5,6,2,4,3,6,1,5,2,4,3,5,4,1,6,2,1,4,5,3,2,4,1,2,3,2,3,5,1,4,5,2,3,4,1,Maybe,3-4 years,N/A
TRUE,YES,YES,29,Male,United States of America,Indiana,Captain,Regional Airline,6,4500,Never served in the military,1,2,5,6,3,4,1,4,5,3,2,6,6,2,3,1,4,5,1,4,5,2,3,1,2,3,4,4,1,5,2,3,5,3,1,2,4,Maybe,1-2 years,NA
TRUE,YES,YES,25,Male,United States of America,Illinois,First Officer,Low Cost Carrier,3,2700,Never served in the military,3,2,6,5,1,4,2,5,3,4,1,6,3,5,4,2,6,1,1,2,5,4,3,4,1,3,2,5,4,1,2,3,4,3,1,5,2,No,NA,NA
TRUE,YES,YES,22,Female,United States of America,Ohio,First Officer,Regional Airline,1,1850,Never served in the military,4,1,5,6,2,3,2,5,3,4,1,6,2,4,5,1,6,3,1,4,5,2,3,2,3,1,4,1,4,2,3,5,1,4,2,5,3,Maybe,3-4 years,"Better quality of life, being home based, and better retirement benefits"
TRUE,YES,YES,39,Male,United States of America,Delaware,First Officer,Regional Airline,1,1500,Never served in the military,1,3,5,6,2,4,3,5,2,4,1,6,1,5,3,2,6,4,1,4,5,2,3,3,2,1,4,5,4,2,1,3,2,3,1,5,4,Maybe,over 4 years,"Quality of life in the form of less legs per trip, guaranteed home base, better pay."
TRUE,YES,YES,52,Female,United States of America,Illinois,Captain,Regional Airline,30,20000,Never served in the military,2,1,5,6,3,4,2,3,4,5,1,6,1,5,3,2,6,4,1,4,5,2,3,2,1,3,4,1,5,4,2,3,5,3,1,4,2,No,NA,NA
TRUE,YES,YES,28,Male,United States of America,Florida,First Officer,Legacy/Mainline Part 121 Airline,8,4500,Never served in the military,1,2,5,6,3,4,1,3,4,5,2,6,2,3,4,6,5,1,1,4,2,5,3,4,1,2,3,4,1,2,5,3,5,2,1,4,3,No,NA,NA
TRUE,YES,YES,28,Female,United States of America,Kentucky,First Officer,Regional Airline,2,3800,Never served in the military,3,1,5,6,2,4,4,6,3,2,1,5,3,4,5,2,6,1,2,3,4,1,5,3,1,2,4,3,4,1,5,2,2,1,4,5,3,Yes,1-2 years,"Southwest, so I can be a mom."
TRUE,YES,YES,25,Male,United States of America,Illinois,First Officer,Regional Airline,2,2400,Never served in the military,1,2,5,4,3,6,2,6,3,5,1,4,4,5,1,3,6,2,1,4,2,3,5,3,4,1,2,5,2,3,1,4,5,3,1,2,4,Yes,3-4 years,"Opportunity to be based closer to home, Opportunity to obtain higher pay"
TRUE,YES,YES,36,Male,Mexico,Maryland,First Officer,Legacy/Mainline Part 121 Airline,4,4500,Never served in the military,1,2,5,6,3,4,1,5,3,4,2,6,2,6,3,4,5,1,1,2,5,3,4,2,3,1,4,3,2,1,4,5,1,4,3,5,2,No,NA,NA
TRUE,YES,YES,29,Male,United States of America,Connecticut,Captain,Regional Airline,2,2600,Never served in the military,2,1,3,6,4,5,1,4,3,5,2,6,3,4,5,1,6,2,1,2,3,4,5,4,1,2,3,5,3,1,2,4,1,3,2,5,4,Maybe,1-2 years,Career Advancement/Pay
TRUE,YES,YES,34,Male,United States of America,Ohio,First Officer,Regional Airline,7,3000,Never served in the military,5,4,2,6,1,3,4,3,2,1,5,6,3,4,5,2,6,1,2,5,3,1,4,3,2,1,4,2,5,1,4,3,4,2,1,5,3,Maybe,1-2 years,Leave for majors/ more pay/ larger aircraft
TRUE,YES,YES,24,Male,United States of America,Ohio,First Officer,Regional Airline,2,2600,Never served in the military,2,4,5,6,1,3,2,1,4,6,3,5,4,6,3,1,5,2,1,3,5,2,4,1,3,2,4,5,1,2,3,4,3,1,2,5,4,Yes,1-2 years,"Although I think RPA, is a great regional, for me it’s not a career destination. I want more pay and more days off"
TRUE,YES,YES,22,Male,United States of America,Arkansas,First Officer,Regional Airline,1,2100,Never served in the military,2,1,4,5,3,6,2,3,4,5,1,6,1,4,6,3,5,2,2,3,1,4,5,1,2,3,4,2,4,5,1,3,1,2,3,5,4,Yes,3-4 years,Better pay and easier commute. Currently two leg commute.
TRUE,YES,YES,27,Male,United States of America,Pennsylvania,Captain,Regional Airline,10,3071,Never served in the military,2,1,4,5,3,6,3,2,4,5,1,6,2,4,5,6,3,1,1,2,5,3,4,3,4,1,2,2,5,1,4,3,4,2,1,5,3,Yes,1-2 years,NA
TRUE,YES,YES,29,Male,United States of America,Georgia,First Officer,Legacy/Mainline Part 121 Airline,4,3304,Never served in the military,3,2,1,4,5,6,1,5,3,4,2,6,2,4,3,6,5,1,1,2,3,5,4,3,2,1,4,5,3,1,2,4,1,3,4,5,2,No,NA,NA
TRUE,YES,YES,29,Male,United States of America,New York,First Officer,Regional Airline,13,5500,Never served in the military,2,1,6,4,3,5,1,2,5,4,3,6,2,5,6,1,4,3,1,3,2,4,5,3,2,1,4,1,5,2,3,4,4,1,3,5,2,Yes,Within 1 year,"better pay, career progression , QOL"
TRUE,YES,YES,25,Male,United States of America,Kentucky,First Officer,Regional Airline,6,2000,Never served in the military,1,3,5,6,2,4,1,2,3,4,5,6,2,4,5,1,3,6,3,1,2,4,5,1,3,2,4,1,5,4,2,3,5,4,1,2,3,Yes,1-2 years,"Pay, aircraft diversity"
