item,statistic,df,p,p_adj_holm,p.adj.signif,effsize,magnitude
Competitive salary,1.8846743305302558,3,0.597,1,ns,-0.015490634298190888,small
Allowances and soft pay,3.8619485705840195,3,0.277,1,ns,0.011971507924778049,small
Benefits package,3.7082162245408736,3,0.295,1,ns,0.009836336451956577,small
Disability insurance,4.724329602644025,3,0.193,1,ns,0.023949022258944797,small
Job security,2.2633155832656073,3,0.52,1,ns,-0.010231728010199899,small
New hire/longevity bonuses,4.883770121924767,3,0.181,1,ns,0.02616347391562177,small
