item,statistic,p,p_adj_holm,p.adj.signif,effsize,magnitude
Competitive salary,311.5,0.164,0.984,ns,0.16083544075573056,small
Allowances and soft pay,233.5,0.89,1,ns,0.016961608195728634,small
Benefits package,264.5,0.676,1,ns,0.049026471849402,small
Disability insurance,229,0.821,1,ns,0.026999710590573284,small
Job security,169.5,0.173,0.984,ns,0.15727659781417222,small
New hire/longevity bonuses,246,0.926,1,ns,0.01200059908485986,small
