item,statistic,df,p,p_adj_holm,p.adj.signif,effsize,magnitude
Predictable schedule,7.452014032596341,3,0.0588,0.3528,ns,0.06183352823050473,moderate
Vacation time,5.188777055520603,3,0.158,0.79,ns,0.030399681326675046,small
Family-friendly policies,4.904898384575279,3,0.179,0.79,ns,0.02645692200798999,small
Home base possibility,2.634417927420107,3,0.451,1,ns,-0.005077528785831848,small
Travel benefits,1.2135304464691798,3,0.75,1,ns,-0.024812077132372504,small
Work-life balance,1.7124006261847247,3,0.634,1,ns,-0.017883324636323267,small
