item,statistic,p,p_adj_holm,p.adj.signif,effsize,magnitude
Unambiguous SOPs,620,0.74,1,ns,0.03878077746599249,small
Proactive training,722.5,0.416,1,ns,0.09398259019896188,small
Well-maintained aircraft,618,0.72,1,ns,0.041768552490721006,small
Well-equipped aircraft,637.5,0.883,1,ns,0.01757023389351172,small
Highly skilled pilots,655.5,0.955,1,ns,0.00709513042033849,small
