item,statistic,p,p_adj_holm,p.adj.signif,effsize,magnitude
Unambiguous SOPs,255,0.825,1,ns,0.02651587153933843,small
Proactive training environment,240,0.626,1,ns,0.05723195986636516,small
Well-maintained aircraft,237,0.586,1,ns,0.06388762349817036,small
Well-equipped aircraft,328.5,0.247,1,ns,0.13481770036977261,small
Highly skilled fellow pilots,290,0.705,1,ns,0.04478840225259698,small
