item,n,median,mean,sd,pct_rank1
Competitive salary,76,2,1.6447368421052633,0.7430378611873653,47.368421052631575
Allowances and soft pay,76,4,3.9605263157894735,1.2376406530026847,1.3157894736842104
Benefits package,76,3,3.3552631578947367,1.1396367534546092,5.263157894736842
Disability insurance,76,4.5,4.407894736842105,1.047888436542076,1.3157894736842104
Job security,76,2,2.0921052631578947,1.2772640716672221,44.73684210526316
New hire/longevity bonuses,76,6,5.5394736842105265,0.915653347414609,0
