item,statistic,p,p_adj_holm,p.adj.signif,effsize,magnitude
Professional-looking uniforms,767.5,0.171,0.513,ns,0.15780481489120943,small
Additional vacation for long service,496.5,0.078,0.312,ns,0.20282632154257002,small
Recognition as a professional,724,0.385,0.77,ns,0.10036410461139296,small
Airline recognition,618,0.694,0.77,ns,0.04592083166938132,small
