item,statistic,p,p_adj_holm,p.adj.signif,effsize,magnitude
Predictable schedule,722,0.415,1,ns,0.09406470058803543,small
Vacation time,604,0.605,1,ns,0.060022356534529565,small
Family-friendly policies,739.5,0.315,1,ns,0.11583614996015729,small
Possibility of being based at home,556,0.287,1,ns,0.12274769504359741,small
Travel benefits,576.5,0.402,1,ns,0.09676219352000774,small
Work-life balance,711.5,0.485,1,ns,0.0807239556016699,small
