item,statistic,p,p.adj,p.adj.signif,effsize,magnitude
Competitive salary,363,0.0691,0.41459999999999997,ns,NA,NA
Allowances and soft pay,332.5,0.258,1,ns,NA,NA
Benefits package,204,0.259,1,ns,NA,NA
Disability insurance,174,0.0928,0.5568,ns,NA,NA
Job security,205,0.255,1,ns,NA,NA
New hire/longevity bonuses,311,0.339,1,ns,NA,NA
