item,statistic,p,p.adj,p.adj.signif,effsize,magnitude
Competitive salary,460.5,0.406,1,ns,NA,NA
Allowances and soft pay,502,0.806,1,ns,NA,NA
Benefits package,583,0.444,1,ns,NA,NA
Disability insurance,515,0.934,1,ns,NA,NA
Job security,516.5,0.948,1,ns,NA,NA
New hire/longevity bonuses,619,0.127,0.762,ns,NA,NA
