Demographic,Tests,Min_p_raw,Min_p_adj,Significant_q10
Age (<=35 vs >35),6,0.00536,0.03216,1
Experience Quartiles,6,0.0325,0.195,0
Gender (Male vs Female),6,0.016,0.096,1
Military,0,NA,NA,NA
Flight-Deck Position,6,0.04,0.24,0
